,datetime,sth_mvrv,btcusd,log_sth_mvrv,rolling_mean,rolling_std,sth_mvrv_zscore
793,2026-01-03,0.92,90603.19,-0.08,-0.14,0.03,1.93
794,2026-01-04,0.93,91413.49,-0.07,-0.14,0.03,2.15
795,2026-01-05,0.95,93882.55,-0.05,-0.14,0.03,2.59
796,2026-01-06,0.95,93729.03,-0.05,-0.13,0.03,2.38
797,2026-01-07,0.93,91308.05,-0.07,-0.13,0.04,1.68
798,2026-01-08,0.93,91027.12,-0.07,-0.13,0.04,1.61
799,2026-01-09,0.93,90513.1,-0.07,-0.13,0.04,1.55
800,2026-01-10,0.92,90386.65,-0.08,-0.13,0.03,1.21
801,2026-01-11,0.93,90827.46,-0.07,-0.12,0.03,1.48
802,2026-01-12,0.93,91192.99,-0.07,-0.12,0.03,1.44
